name,city,country,IATA,latitude,longitude,population
Aspen-Pitkin Co/Sardy Field,Aspen,United States,ASE,39.22320175,-106.8690033,142305
Astrakhan Airport,Astrakhan,Russia,ASF,46.2832984924,48.0063018799,968132
Amami Airport,Amami,Japan,ASJ,28.430599212646484,129.71299743652344,84137
Asmara International Airport,Asmara,Eritrea,ASM,15.291899681091309,38.91070175170898,4213152
Asosa Airport,Asosa,Ethiopia,ASO,10.018500328063965,34.586299896240234,6177577
Alice Springs Airport,Alice Springs,Australia,ASP,-23.806699752807617,133.90199279785156,30294
Kayseri Erkilet Airport,Kayseri,Turkey,ASR,38.770401001,35.4953994751,1596627
Silvio Pettirossi International Airport,Asuncion,Paraguay,ASU,-25.239999771118164,-57.52000045776367,4085990
Amboseli Airport,Amboseli National Park,Kenya,ASV,-2.645050048828125,37.25310134887695,865028
Aswan International Airport,Aswan,Egypt,ASW,23.9643993378,32.8199996948,1059449
Comandante FAP German Arias Graziani Airport,Anta,Peru,ATA,-9.347439765930176,-77.59839630126953,919886
Arthur's Town Airport,Arthur's Town,Bahamas,ATC,24.6294,-75.673797,17307
Uru Harbour Airport,Atoifi,Solomon Islands,ATD,-8.87333,161.011002,26026
Eleftherios Venizelos International Airport,Athens,Greece,ATH,37.9364013672,23.9444999695,3227509
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,ATK,70.46730041503906,-157.43600463867188,1483
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,10477742
Altamira Airport,Altamira,Brazil,ATM,-3.2539100646973,-52.254001617432,187843
Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ,31.7096004486,74.7973022461,11764958
Appleton International Airport,Appleton,United States,ATW,44.2580986023,-88.5190963745,405940
Watertown Regional Airport,Watertown,United States,ATY,44.91400146,-97.15470123,229346
Assiut International Airport,Asyut,Egypt,ATZ,27.0464992523,31.0119991302,5490763
Queen Beatrix International Airport,Oranjestad,Aruba,AUA,12.5014,-70.015198,1125020
Santiago Perez Airport,Arauca,Colombia,AUC,7.06888,-70.7369,336615
Augusta State Airport,Augusta,United States,AUG,44.3205986023,-69.7973022461,100491
Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH,24.433000564575195,54.651100158691406,2316480
Alakanuk Airport,Alakanuk,United States,AUK,62.6800422668,-164.659927368,586
Hiva Oa-Atuona Airport,Hiva-oa,French Polynesia,AUQ,-9.76879024506,-139.011001587,2240
Aurillac Airport,Aurillac,France,AUR,44.89139938354492,2.4219400882720947,249058
Austin Bergstrom International Airport,Austin,United States,AUS,30.194499969482425,-97.6698989868164,3339617
Aurukun Airport,Aurukun,Australia,AUU,-13.354067,141.72065,2089
Araguaína Airport,Araguaina,Brazil,AUX,-7.22787,-48.240501,466161
Aneityum Airport,Anelghowhat,Vanuatu,AUY,-20.2492008209,169.770996094,1534
Anshun Huangguoshu Airport,Anshun,China,AVA,26.2605555556,105.873333333,2085261
Asheville Regional Airport,Asheville,United States,AVL,35.43619918823242,-82.54180145263672,731206
Avignon-Caumont Airport,Avignon,France,AVN,43.90729904174805,4.901830196380615,247074
Wilkes Barre Scranton International Airport,Scranton,United States,AVP,41.3385009766,-75.72339630130001,550734
Avalon Airport,Avalon,Australia,AVV,-38.039398,144.468994,202533
Aniwa Airport,Aniwa,Vanuatu,AWD,-19.2346,169.6009,2645
