name,city,country,IATA,latitude,longitude,population
Calvi-Sainte-Catherine Airport,Calvi,France,CLY,42.5244444,8.7930556,192817
Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,55.617900848389,12.656000137329,3915322
Craiova Airport,Craiova,Romania,CRA,44.31809997558594,23.888599395751957,973101
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459202,4.45382,5016315
Catania-Fontanarossa Airport,Catania,Italy,CTA,37.466801,15.0664,2025865
Cuneo International Airport,Cuneo,Italy,CUF,44.547001,7.62322,387006
Cardiff International Airport,Cardiff,United Kingdom,CWL,51.39670181274414,-3.343329906463623,962907
Dubrovnik Airport,Dubrovnik,Croatia,DBV,42.5614013671875,18.268199920654297,2572637
Castres-Mazamet Airport,Castres,France,DCM,43.55630111694336,2.289180040359497,459104
Debrecen International Airport,Debrecen,Hungary,DEB,47.48889923095703,21.61529922485352,586770
Dijon-Bourgogne Airport,Dijon,France,DIJ,47.268902,5.09,199707
Diyarbakir Airport,Diyabakir,Turkey,DIY,37.893901825,40.2010002136,1617044
Dole-Tavaux Airport,Dole,France,DLE,47.042686,5.435063,310331
Dalaman International Airport,Dalaman,Turkey,DLM,36.7131004333,28.7924995422,854741
Dundee Airport,Dundee,United Kingdom,DND,56.45249938964844,-3.025830030441284,89212
Dnipropetrovsk International Airport,Dnepropetrovsk,Ukraine,DNK,48.357200622558594,35.10060119628906,3875892
Dinard-Pleurtuit-Saint-Malo Airport,Dinard,France,DNR,48.58769989013672,-2.0799601078033447,321207
Çardak Airport,Denizli,Turkey,DNZ,37.7855987549,29.7012996674,266655
Donetsk International Airport,Donetsk,Ukraine,DOK,48.07360076904297,37.73970031738281,3740959
Deauville-Saint-Gatien Airport,Deauville,France,DOL,49.3652992249,0.154305994511,224160
Dresden Airport,Dresden,Germany,DRS,51.1328010559082,13.767200469970703,1491425
Robin Hood Doncaster Sheffield Airport,"Doncaster, Sheffield",United Kingdom,DSA,53.4805378105,-1.01065635681,565214
Dortmund Airport,Dortmund,Germany,DTM,51.51829910279999,7.61223983765,2008906
Dublin Airport,Dublin,Ireland,DUB,53.421299,-6.27007,4327971
Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.76678,9419251
San Sebastian Airport,San Sebastian,Spain,EAS,43.35649871826172,-1.7906099557876587,333702
Marina Di Campo Airport,Marina Di Campo,Italy,EBA,42.7603,10.2394,298078
Esbjerg Airport,Esbjerg,Denmark,EBJ,55.525902,8.5534,223137
Saint-Étienne-Bouthéon Airport,St-Etienne,France,EBU,45.54059982299805,4.296390056610107,377241
Edinburgh Airport,Edinburgh,United Kingdom,EDI,55.95000076293945,-3.372499942779541,2853503
Balıkesir Körfez Airport,Balikesir Korfez,Turkey,EDO,39.554599762,27.0137996674,261481
Kefallinia Airport,Keffallinia,Greece,EFL,38.12009811401367,20.5004997253418,130027
Bergerac-Roumanière Airport,Bergerac,France,EGC,44.82529830932617,0.5186110138893127,601613
Eindhoven Airport,Eindhoven,Netherlands,EIN,51.4500999451,5.37452983856,3071766
